gender,Race,Education,totalyearlycompensation
Male,White,Bachelor's Degree,93000
Male,White,Bachelor's Degree,363000
Male,Asian,Master's Degree,187000
Male,White,Bachelor's Degree,209000
Male,Asian,Master's Degree,240000
Male,White,Bachelor's Degree,168000
Male,Asian,Master's Degree,181000
Male,White,Master's Degree,68000
Male,Asian,Bachelor's Degree,350000
Male,White,Bachelor's Degree,152000
Male,White,Bachelor's Degree,98000
Male,Asian,Master's Degree,141000
Male,White,PhD,395000
Male,Two Or More,Bachelor's Degree,310000
Male,White,Bachelor's Degree,110000
Male,Asian,Bachelor's Degree,225000
Male,White,PhD,270000
Male,Asian,Master's Degree,240000
Male,Asian,Bachelor's Degree,22000
Male,Asian,Master's Degree,410000
Male,White,Bachelor's Degree,121000
Male,Asian,Master's Degree,75000
Female,Asian,Master's Degree,149000
Female,White,Bachelor's Degree,120000
Male,White,Bachelor's Degree,136000
Male,White,PhD,145000
Male,Asian,Bachelor's Degree,350000
Male,White,Bachelor's Degree,164000
Male,Asian,Master's Degree,200000
Male,White,Bachelor's Degree,141000
Male,Asian,Master's Degree,92000
Male,Asian,Master's Degree,70000
Male,Asian,Bachelor's Degree,500000
Male,White,Some College,116000
Female,White,Master's Degree,288000
Male,White,Bachelor's Degree,140000
Male,White,Bachelor's Degree,140000
Male,Asian,Bachelor's Degree,100000
Male,White,Some College,179000
Male,White,Some College,138000
Male,White,Some College,218000
Male,Hispanic,Bachelor's Degree,89000
Male,Black,Bachelor's Degree,81000
Male,White,Highschool,325000
Male,Asian,Master's Degree,370000
Male,White,Master's Degree,98000
Male,White,Master's Degree,107000
Male,Asian,Bachelor's Degree,156000
Male,White,Bachelor's Degree,175000
Male,White,Bachelor's Degree,95000
Male,Asian,Bachelor's Degree,93000
Female,White,Master's Degree,77000
Male,White,Bachelor's Degree,248000
Male,Asian,Bachelor's Degree,69000
Male,Two Or More,Master's Degree,214000
Male,Asian,PhD,247000
Male,Asian,Master's Degree,247000
Male,White,Bachelor's Degree,133000
Male,Asian,Bachelor's Degree,116000
Male,White,Master's Degree,178000
Male,White,Bachelor's Degree,405000
Male,White,Bachelor's Degree,92000
Male,White,Bachelor's Degree,142000
Male,White,Master's Degree,156000
Male,Black,Some College,88000
Male,Two Or More,Bachelor's Degree,240000
Male,Hispanic,Bachelor's Degree,153000
Male,White,Bachelor's Degree,160000
Male,Asian,Master's Degree,260000
Male,Asian,Master's Degree,132000
Male,Asian,Master's Degree,300000
Male,Asian,Bachelor's Degree,175000
Male,Asian,Bachelor's Degree,215000
Male,Asian,Master's Degree,240000
Male,Asian,Master's Degree,207000
Male,White,Bachelor's Degree,178000
Male,White,Bachelor's Degree,184000
Male,White,Bachelor's Degree,135000
Male,White,Bachelor's Degree,98000
Male,Asian,Bachelor's Degree,330000
Male,White,Master's Degree,110000
Female,White,Bachelor's Degree,115000
Male,Asian,Bachelor's Degree,165000
Male,White,Bachelor's Degree,140000
Male,Asian,Master's Degree,137000
Male,Asian,Bachelor's Degree,158000
Male,Asian,Bachelor's Degree,145000
Male,White,Bachelor's Degree,208000
Male,White,Bachelor's Degree,120000
Female,Asian,Master's Degree,157000
Male,White,Bachelor's Degree,425000
Female,Asian,Master's Degree,189000
Male,Asian,Master's Degree,287000
Male,Asian,Bachelor's Degree,190000
Male,Asian,Master's Degree,280000
Male,Asian,Bachelor's Degree,200000
Female,Asian,Master's Degree,202000
Male,White,Bachelor's Degree,257000
Male,Asian,Master's Degree,128000
Male,Asian,Master's Degree,380000
Male,Asian,Bachelor's Degree,640000
Male,Asian,Bachelor's Degree,118000
Male,White,Bachelor's Degree,160000
Male,White,Bachelor's Degree,80000
Male,White,Bachelor's Degree,470000
Male,Asian,Bachelor's Degree,91000
Male,Asian,Bachelor's Degree,205000
Male,Asian,Bachelor's Degree,293000
Male,White,Bachelor's Degree,63000
Male,Hispanic,Bachelor's Degree,181000
Male,White,Master's Degree,233000
Female,Asian,Master's Degree,192000
Male,Asian,Master's Degree,219000
Male,White,Bachelor's Degree,225000
Male,Asian,Master's Degree,245000
Male,Asian,Master's Degree,275000
Male,White,Some College,455000
Male,Asian,Master's Degree,190000
Female,Asian,Master's Degree,187000
Male,White,Bachelor's Degree,171000
Male,White,Bachelor's Degree,164000
Male,Asian,Bachelor's Degree,224000
